ISSN;TITULO;QUALIS
23280662;# ISOJ JOURNAL;C
22375953;(RE)PENSANDO DIREITO;B1
24473464;(RE)PENSANDO DIREITO;B1
1414915X;(SYN)THESIS;C
23187344;@RQUIVO BRASILEIRO DE EDUCACAO;B1
24694312;[IN] TRANSITION;B4
21010323;[PLASTIK];B1
1688938X;[SIC] REVISTA LITERARIA DE LA ASSOCIACION DE PROFESSORES DE LITERATURA DEL URUGUAY;C
22373292;15ª JORNADA DE ESTUDOS LINGUISTICOS E LITERARIOS;C
1981030X;19&20;C
2683720X;1991. REVISTA DE ESTUDIOS INTERNACIONALES;B4
20531583;2D MATERIALS;A1
21905738;3 BIOTECH;A2
23297662;3D PRINTING AND ADDITIVE MANUFACTURING;A2
23297670;3D PRINTING AND ADDITIVE MANUFACTURING (ONLINE);A2
23656271;3D PRINTING IN MEDICINE;A4
26756684;3S;C
20133294;452ºF;A4
25570250;4OPEN;C
16194500;4OR (BERLIN);A3
18081142;5% ARQUITETURA + ARTE;B1
14680432;7TH BIENNIAL INTERNATIONAL INTERDISCIPLINARY CONFERENCE GENDER WORK AND ORGANIZATION KEELE UNIVERSITY;A1
25256556;A (IN)AFASTABILIDADE DOS DIREITOS FUNDAMENTAIS NO AMBITO DAS RELACOES PRIVADAS.;B2
01047922;A AGUA EM REVISTA;C
22366695;A BARRIGUDA: REVISTA CIENTIFICA;B2
25948245;A BRUXA;C
07177011;A C ARQUITECTURA Y CULTURA;B4
08711097;A CIDADE (PORTALEGRE);C
08711992;A CIDADE DE EVORA;C
15487083;A CONTRACORRIENTE (RALEIGH, N.C.);A2
21451958;A CONTRATIEMPO;B2
25949675;A COR DAS LETRAS;A3
14158973;A COR DAS LETRAS (UEFS);A3
00117641;A DEFESA NACIONAL;B2
14136090;A ECONOMIA EM REVISTA;B3
22362029;A ECONOMIA EM REVISTA - AERE;B3
19836422;A FISICA NA ESCOLA (IMPRESSO);A3
19836430;A FISICA NA ESCOLA;A3
15578100;A JOURNAL OF INTEGRATIVE BIOLOGY;A3
21752516;A MARGEM: REVISTA ELETRONICA DE CIENCIAS HUMANAS, LETRAS E ARTES;B3
21763356;A PALO SECO: ESCRITOS DE FILOSOFIA E LITERATURA;B2
21756104;A PESTE: REVISTA DE PSICANALISE E SOCIEDADE;B3
10531238;A QUARTERLY BULLETIN OF THE COMPUTER SOCIETY OF THE IEEE TECHNICAL COMMITTEE ON DATA ENGINEERING;B2
19825560;A REVISTA CRONOS;B3
2319037X;A REVISTA EM FOCO;C
16760336;A TERCEIRA IDADE;B3
15163210;A&C. REVISTA DE DIREITO ADMINISTRATIVO & CONSTITUCIONAL (IMPRESSO);A3
24485764;A&H;C
23626097;A&P CONTINUIDAD;B1
00445592;A. RIVISTA ANARCHICA;C
00946354;A.A.N.A. JOURNAL;A3
23760605;AACE CLINICAL CASE REPORTS;B1
15287106;AACE INTERNATIONAL TRANSACTIONS;C
15597776;AACN ADVANCED CRITICAL CARE;A3
12321966;AAEM. ANNALS OF AGRICULTURAL AND ENVIRONMENTAL MEDICINE;B1
01491423;AAPG BULLETIN (PRINT);A1
15221059;AAPS PHARMSCI;A1
15309932;AAPS PHARMSCITECH;A3
23753803;AASCIT COMMUNICATIONS;C
23811285;AASCIT JOURNAL OF HEALTH (ONLINE);C
22126716;AASRI PROCEDIA;A1
07470088;ABA JOURNAL;B1
02136252;ABACO (GIJON);A3
00013072;ABACUS (SYDNEY. PRINT);A2
23169451;ABAKOS;A4
16976932;ABALAR (SANTIAGO DE COMPOSTELA);C
20074204;ABANICO VETERINARIO;B4
26756781;ABATIRA;C
17841283;ABC TAXA;C
23188219;ABC: IMAGEM CARDIOVASCULAR;C
01026720;ABCD. ARQUIVOS BRASILEIROS DE CIRURGIA DIGESTIVA;A4
23184965;ABCS HEALTH SCIENCES;B1
19804814;ABCUSTOS (SAO LEOPOLDO, RS);B2
09428925;ABDOMINAL IMAGING;C
2366004X;ABDOMINAL RADIOLOGY;A4
23660058;ABDOMINAL RADIOLOGY (ONLINE);A4
25960873;ABEAFRICA;B4
22383026;ABEHACHE;B2
25958127;ABEI JOURNAL;B3
15180581;ABEI JOURNAL (SAO PAULO);B2
00255858;ABHANDLUNGEN AUS DEM MATHEMATISCHEN SEMINAR DER UNIVERSITAT HAMBURG;B1
24710938;AB-ORIGINAL. JOURNAL OF INDIGENOUS STUDIES AND FIRST NATIONS AND  FIRST PEOPLES´ CULTURES;B3
18098630;ABRAMET. ASSOCIACAO BRASILEIRA DE MEDICINA DE TRAFEGO;C
19842090;ABRIL (NITEROI);A2
20148534;ABRIU: TEXTUALITY STUDIES ON BRAZIL, GALICIA AND PORTUGAL;A4
18079792;ABSTRACTA : LINGUAGEM, MENTE E ACAO (NITEROI);B1
10602011;ABSTRACTS OF THE GENERAL MEETING OF THE AMERICAN SOCIETY FOR MICROBIOLOGY;C
25266675;ABYA-YALA: REVISTA SOBRE ACESSO À JUSTICA E DIREITOS NAS AMERICAS;A3
19814763;ACADEMIA - REVISTA DE DIVULGACAO CIENTIFICA EM CIENCIAS JURIDICAS E SOCIAIS;B4
22411402;ACADEMIA (ONLINE);B4
27636976;ACADEMIA DE DIREITO;C
23157739;ACADEMIA JOURNAL OF AGRICULTURAL RESEARCH;B4
23157747;ACADEMIA JOURNAL OF BIOTECHNOLOGY;B4
23157704;ACADEMIA JOURNAL OF EDUCATIONAL RESEARCH;B2
2315778X;ACADEMIA JOURNAL OF ENVIRONMENTAL SCIENCE;A4
23157720;ACADEMIA JOURNAL OF MEDICINAL PLANTS;C
23157771;ACADEMIA JOURNAL OF MICROBIOLOGY RESEARCH;B3
23157712;ACADEMIA JOURNAL OF SCIENTIFIC RESEARCH;B3
10128255;ACADEMIA REVISTA LATINOAMERICANA DE ADMINISTRACION;A3
26801000;ACADEMIC  JOURNAL OF CIVIL ENGINEERING;B3
10696563;ACADEMIC EMERGENCY MEDICINE;A1
25197045;ACADEMIC JOURNAL OF CHEMISTRY;C
26925400;ACADEMIC JOURNAL OF GASTROENTEROLOGY & HEPATOLOGY (AJGH);C
22813993;ACADEMIC JOURNAL OF INTERDISCIPLINARY STUDIES;A4
24747521;ACADEMIC JOURNAL OF PEDIATRICS E NEONATOLOGY;C
21656282;ACADEMIC JOURNAL OF SCIENCE;C
20793456;ACADEMIC JOURNAL OF SURINAME;C
23475919;ACADEMIC MEDICAL JOURNAL OF INDIA;B4
10402446;ACADEMIC MEDICINE;A1
18762859;ACADEMIC PEDIATRICS (PRINT);A2
10429670;ACADEMIC PSYCHIATRY;A2
10766332;ACADEMIC RADIOLOGY;A3
16763769;ACADEMICA (ACADEMIA DE CIENCIAS SOCIAIS DO CEARA);B4
23181494;ACADEMICO MUNDO;B4
16310691;ACADEMIE DES SCIENCES. COMPTES RENDUS. BIOLOGIES;A2
18069495;ACADEMUS: REVISTA CIENTIFICA DA SAUDE;C
10963685;ACADEMY OF ACCOUNTING AND FINANCIAL STUDIES JOURNAL;A2
21565155;ACADEMY OF BUSINESS EDUCATION. JOURNAL;B3
15282686;ACADEMY OF ENTREPRENEURSHIP JOURNAL;A3
