ISSN;EISSN
20349130;22959149
00181390;
05461766;
04851439;18820824
03694739;
16524772;20019866
2649664X;26496100
15343219;
;20531583
2190572X;21905738
23297662;23297670
;23656271
;20926731
01285157;25502247
;20133294
16194500;16142411
03899160;
;23257237
;25753126
16607880;16628667
15163210;19844182
01972510;
00965359;23756772
00965979;23756780
05673933;
00966703;
00966886;
00966711;
00966908;00966908
00968994;00968994
08882479;
03758540;03758540
00966339;00966339
00966894;00966894
08989575;21517290
25647474;25647571
22123202;22147233
01715410;
07434618;14773848
;23760605
;30509157
18448143;18449166
15597768;15597776
10790713;15389812
10467467;
00946354;21625239
07441479;
23755776;23755717
08910162;
01491423;
02718529;
03650359;18251242
10545913;
02182203;23094710
22107371;2210738X
;15507416
15221059;
;15309932
02507803;
00010197;
07303564;
;25159321
24723444;23305517
15328813;23305525
00010340;
21664072;21649731
15397890;
07470088;
08580855;
00013072;14676281
10133119;
02768291;
09428925;14320509
2366004X;23660058
10515526;
00255858;18658784
18680356;
03657000;
0174870X;
20966326;26621738
03148769;18379389
00013277;
00965995;
20148526;20148534
10853375;16870409
01336215;
01266209;
03424022;
00013706;
01902946;
;22411402
1018161X;18104851
00013854;
10128255;20565127
10696563;15532712
;19253621
19958943;
22813993;22814612
15837904;
22997164;23533218
20971338;
0258879X;
16718267;
15337812;
10402446;1938808X
10620249;
;23742895
18762859;18762867
10429670;15457230
;19040008
08954852;19364709
10766332;18784046
18553303;23354194
12962147;
10963685;15282635
19392230;19392249
10879595;15282686
19416520;19416067
;21681007
10795545;
00014273;
1537260X;
15589080;
03637425;
10956298;15282678
15441458;19396104
00445851;17127432
01328077;22215115
0044586X;21077207
15568571;
10621458;
;25168290
26630575;26630583
00014575;18792057
09652302;
08989621;15455815
23697393;23697407
00014788;21594260
08105391;1467629X
;15309320
09639284;14684489
01559982;14676303
01484184;23274468
10323732;17493374
21552851;2155286X
08887993;15587975
17449480;17449499
1911382X;19113838
10309616;
00014826;15587967
09513574;
09585206;14664275
;21522820
25097873;25097881
09598022;18737595
03613682;
00014842;15204898
;26436728
09491775;14320517
20271131;21454493
0102700X;22378723
;23263253
12178969;
0889325X;
08893241;
10249435;15612880
19322232;19322240
03600300;15577341
21532184;21532192
10846654;
15314278;
15504832;15504840
;15513688
15232867;15581160
19367228;
15496325;15496333
15443558;15443965
15443566;15443973
23754699;23754702
15300226;15583430
15564665;15564703
19423454;19423462
15293785;1557945X
07342071;15577333
10730516;15577325
;19466226
26911957;26378051
2378962X;23789638
03625915;15574644
10844309;15577309
21678375;21678383
15399087;15583465
2688299X;26883007
07300301;15577368
;25739522
10949224;15577406
10468188;15582868
21576904;21576912
21606455;21606463
25776207;
15335399;15576051
15564681;
2158656X;21586578
00983500;15577295
10493301;15581195
23763639;23763647
15516857;15516865
07342047;
23294949;23294957
24712566;24712574
01640925;
;26436817
19367406;19367414
15504859;
1049331X;15577392
23740353;23740361
15504875;
15533077;
15591131;
;14929732
10856862;
1074861X;
08971471;
14487535;
11307269;24443948
15297853;
10637710;15626865
13463969;13475177
;2624599X
08146039;18392571
0308437X;
01401599;
10568751;15398560
1828454X;22806458
08963576;1544435X
;25785745
;23057394
03512851;
15851923;15882519
;26921952
;25766422
;26376113
;25740962
19448244;19448252
;25740970
;27719855
;26376105
;26942437
;23739878
;21555435
23747943;23747951
15548929;15548937
18715532;18780504
;19487193
21568952;21568944
;24723452
;23808195
;26942518
;26900645
;26900637
;26921944
;23738227
;21611653
;26942461
;26394979
;2694250X
;19485875
19360851;1936086X
;26942496
;24701343
;2694247X
;25759108
;23304022
;26942445
;26942453
;23793694
;21680485
00976156;19475918
;21615063
07479417;
10915397;1536593X
03653056;
13920316;
1000243X;
02533650;
02534290;
1000503X;
02533316;
05872405;
10224793;26814617
16101928;18619959
00650900;
00015113;18460453
10070435;
00015121;
10007091;
09064702;16511972
09064710;16511913
15819175;18541941
00650951;2300357X
01202812;23230118
02380161;15882527
18752780;
04963490;
01393006;15882535
00015148;
0065096X;
00445967;
00015156;
00015164;27365239
03744965;
11248882;
00015172;13996576
05152720;16005430
02541319;
18754597;1875452X
03535150;18746349
00015180;
05291356;
1234950X;16443276
00445975;15882543
01678019;15729036
00015202;
0065101X;16000390
00015210;15882551
00650986;24510300
00651036;17306264
08606102;24498653
00945765;
00015237;
22282009;22282017
00651044;23922389
04003977;
07760353;
07715684;
00015253;
02376261;
16729145;17457270
0001527X;1734154X
07175906;1726569X
03650820;
00015288;
01779214;
0120548X;19001649
00015296;18980295
0001530X;
00015318;
02365383;1588256X
26016141;26685124
;24121908
;18543073
1588385X;15884082
14078953;
17427061;18787568
03924203;25316745
25419420;25879596
03252957;
01384988;
00015342;15728358
08003831;1503111X
10004025;
01023306;1677941X
03650588;18478476
00015369;
12538078;
02366495;15882578
02109506;23405074
01877151;24487589
00445983;
05777496;
00845906;24434264
03650766;
00015385;03737934
10116842;
11248874;
05836050;15802612
0904213X;
00015393;
03024377;
03024369;
00015407;
02313146;
05677351;
02567660;
13180207;15803155
15081109;
00015415;
00015423;18054404
00015431;
0001544X;15632563
00015458;
02314614;
00015466;
0354950X;24060887
03906892;
00015482;
03011860;
12332356;20835736
00015504;
01028650;
00651141;
0418453X;27323390
05677386;
17843286;22953337
03539466;13339451
03539474;
01227262;27730697
01239155;19099711
02315955;
24131903;16841999
01888145;
22126007;
03020029;
0365110X;
;20532733
01087673;16005724
01087681;16005740
20525192;20525206
01082701;16005759
09074449;13990047
;20597983
;20569890
;16005368
17443091;
;2053230X
05677408;
;20532296
0324721X;
00015547;19382650
00651176;
03760189;
00015555;16512057
03658341;
13184458;15812979
1330027X;18476538
03024466;
09405429;14325233
00015563;
;25358219
;15049922
18722032;
05677416;
03919706;
00651184;
18410987;1843066X
00015598;
04004000;
03009750;
0240642X;19585454
03979164;
08674140;
03741036;18046487
04546296;
20969384;25244434
14062283;22284699
12169803;15882586
08739749;14379546
00651206;
03516083;22172521
03012298;13386786
1803408X;25710273
13363824;
00015636;
1335258X;13369245
17843227;
03009033;
05677440;03652785
03794172;
00015660;
20960956;23657499
22135812;22135820
12178977;15871037
03741842;
02365758;
12149705;
00015687;
13300466;
00651249;
00651257;
15816613;15818314
13386034;
05677505;
02365278;15882594
00015709;
10009515;17556724
13380044;13385674
18956572;18957455
00015725;
00015733;
10063021;
18611125;18611133
18540171;
00015776;
23364912;23364920
00015784;
00015792;14219662
00015814;23007117
0300970X;
03652858;
00015822;
18279635;18279643
00651281;16180372
00445991;13475800
14080419;
00015830;15882608
00015857;
00651311;
14062925;17367476
13924095;23516526
13180185;
05677572;
0513353X;
00446009;
10003207;
03234320;1521401X
;26444690
03523551;15810267
18453392;18491243
01371592;17341515
0237028X;2221870X
00015903;14320525
03538109;19865988
;18054951
;23005599
12162574;15882616
15207412;
00651362;
00015938;
01026712;2179975X
25598201;
;22323317
03740463;
12168076;15882624
16484444;2669218X
23065737;26584069
07160909;07176848
;13395629
26687755;26687763
;27377946
13596454;
00015962;
08660182;17860091
00015954;
02365294;15882632
02529602;15729087
10009574;
05831431;
14398516;14397617
08629544;13360310
02514184;
01689673;
00015970;16196937
18984088;
05677718;16143116
08949166;18602134
12114286;18059694
1211247X;
00015989;
18401848;18402879
03038173;15632571
03038181;
00016004;
03241750;
13300164;
03794857;
05677734;
02365286;
01259326;23382732
00446025;17359694
03653285;
00016039;
03758338;
13920138;20294174
03936384;22839720
00016055;
0386300X;
03654540;
10188800;17285917
00016071;20949278
0870399X;16460758
00016098;
0350364X;18403956
00016101;
0365463X;
00016152;
10228012;2592818X
00016160;
09567151;
10067191;21941289
10009442;
10009450;
13351532;13381156
08940525;21914788
00016187;
02048809;26033755
12178950;15882640
04389573;24594113
;28139054
02314622;
01371320;
05677815;
05677823;
00016209;
07984545;
13351788;
00016217;
02365391;
00016225;
00016233;
12118796;25714686
14541513;27344487
14541521;27839710
00365343;18046479
00016241;
0001625X;2353074X
11282460;25321900
20758251;
0392419X;
03654907;
00290386;
0567784X;2350417X
00651400;16890035
00016268;09420940
00651419;21978395
03009009;22402993
;24224022
00016284;
00016314;16000404
00651427;16005449
1028768X;
00016322;14320533
;20515960
09242708;16015215
17307503;
03759245;
09624929;14740508
00016330;
02109832;
00016349;16000412
03008835;
0253505X;18691099
03264815;18524834
00016357;15023850
1146609X;
02437651;
02437678;
0243766X;
00016373;15882659
1509409X;
0284186X;1651226X
11001704;
12114413;
0001639X;
1755375X;17553768
13953907;16000420
13953931;
00651451;
00016446;15882667
00016454;
17453674;17453682
00016462;
1017995X;
03502309;
00016470;16511964
03008827;
17453690;17453704
14137852;
23064102;
00016489;16512251
03655237;
00016497;
0392100X;1827675X
03937976;
00016500;
00016519;19883013
13925016;1648665X
00016527;
00016535;
0231441X;
03745600;
0001656X;
03008843;
00016578;
16088115;
08035253;16512227
08035326;
03655741;
00016586;
00016594;20820259
05677920;17322421
1842371X;22483802
00016616;
12302821;18961851
00651478;
03655555;
03654184;
03655563;
03041328;
00016632;
01080164;
01080180;
01080202;
01032100;19820194
01862391;
00016640;20142986
05643929;
14507188;2406095X
10006524;
10000569;20958927
13300075;18469558
03563456;
00016659;
00016667;
11001801;
13072080;
22113835;22113843
00016675;
03403157;
1300638X;
00016683;
16714083;17457254
11212179;18256562
1593232X;18271766
00016705;
02314428;
12197580;15882675
15899535;
05874246;
05874254;
18992358;
1004423X;
03230465;1336040X
01375881;18611664
17481708;17481716
00016756;
03239950;
03266656;
00016748;
0231424X;15882683
00016764;
03276309;
00446033;
00016772;1365201X
03022994;
03710874;
07702728;
00845914;
02381249;15882691
02574829;
13467565;21897042
05291526;
01853082;2448735X
00016810;
18041302;18038220
00016829;
00016837;
12306967;
03237648;
10003304;
12102709;18052363
17858860;
14569418;
03552721;
07812698;
12390518;
00016853;
03552705;
00016845;
0001687X;
10045759;
00651583;16890027
00016896;
03008967;
0365558X;
03655598;
03655067;
01050028;
0001690X;16000447
00651591;16005473
00016918;18736297
0439755X;
03655822;
02841851;16000455
05678056;
05678064;
18020348;
0349652X;
03655954;
03485196;
0303464X;
00016934;
0065163X;
02504642;
03789497;
03657183;
15174492;21787727
16780345;16799216
16799275;18078621
18062636;18078672
14156814;
16799283;1807863X
21785198;21785201
16799291;18078648
18062563;18078664
19834675;19834683
00016969;
00328758;
16440749;24500771
16440765;
16440692;
16440730;18989594
10000550;
02533782;
10009116;19931344
1786691X;1787064X
00016977;20839480
00016985;
03654680;
00016993;15023869
00446041;
03017664;
0351580X;
00017000;
00017019;18460410
03525252;18201202
10045708;
00017043;
;20645228
11212098;
13352555;13385267
10158758;
03780619;
00017051;21903743
10001050;
17316383;
0001706X;18736254
03657299;
00017078;
03657531;
03657612;
03657574;
03657604;
03534316;18486061
12118516;
05247403;
08626529;
00017132;
03230619;23366478
00017116;
12134449;23363231
18045588;23363398
03005402;
05678250;
02086034;24498300
02086050;24506990
02086069;24502782
15059057;23531908
15059065;24498831
03012514;
12121185;12138312
18446094;20667752
20675151;23918179
0137107X;
00017183;
03942511;
00181994;
05678315;18207448
00017205;
;19815484
00017213;18017576
2618639X;2619905X
02366290;15882705
0044605X;17510147
00651699;
0001723X;13362305
00017248;
03008924;
17212596;18271774
00017272;14636395
12178837;
03240770;26033798
00017299;
02367130;
00651729;18526098
13921657;16486919
00017302;
00017310;15782190
11399287;15782735
03005062;
00017329;
02104806;16997980
03355322;
01626620;21586098
14767333;14767341
14767503;
;15454517
08827516;15635031
14697874;17412625
21953589;21957029
11380322;
00017604;
18029698;
1337933X;13384015
01924788;
19936788;
23122129;
02137100;22549412
;19895666
;23864567
02586444;22153535
01519093;21052409
03651045;
02408007;
05153700;
17697344;
12436933;
11320095;
16698975;16698983
;20760825
09944524;
03601293;21679010
20970226;27658619
09645284;17599873
00017884;
25866052;25866060
17482941;1748295X
02540819;
13695312;20403860
17474884;17474892
13660071;
15708705;15708713
2171620X;26595885
08872198;
00010847;
0268652X;
13816551;
13012746;
20839782;24500976
11266244;
12808571;
17550637;17550645
18674534;18674542
07365829;15432777
10597123;17412633
;21987335
23136537;23136545
21487286;21491305
09652140;13600443
20084633;20088469
13556215;13691600
;27723925
16066359;14767392
19400632;19400640
03064603;18736327
;23528532
00940267;
15315754;
;22148604
;29504317
;27723690
03063747;18735312
00651915;
;2444121X
16191919;21928681
18666116;18666647
21922624;21956545
02649047;
0001821X;
15519899;15520633
02144840;
12133841;
21623945;2162397X
15502082;
21471630;2146586X
02582058;
10185275;
;18487718
15839583;25596489
00018325;24499471
0894587X;15733289
00953997;15523039
00901180;
03643107;15444376
03022986;
00018368;
07386974;
00018392;19303815
;20763387
10841806;19490461
00018449;
15642984;
16799941;21775281
09328610;
;1179318X
10413499;
15473368;15450058
19344287;
00652008;
22106766;22106774
23638346;23638354
;26737051
03085759;1740469X
10926755;
09295607;15728757
02636174;20484038
07417136;15523047
10451595;21624070
;17441803
15246817;21610029
01473956;
23256699;
10966293;
20424868;20424876
;27154211
;27732371
;27010198
;21875219
;22779175
;23667478
10657355;
09243046;15685519
25220128;25220136
0951953X;
09636935;
;25780727
2636302X;26363038
;27679713
0169409X;18728294
24093351;24108286
;21190275
;2199160X
19314485;
;26999412
03651789;
16146832;16146840
14740346;
;28129709
14381656;15272648
;26871653
25247921;2524793X
10951415;
1616301X;
21922640;21922659
10420711;
;25425048
16103947;21978441
25229052;
1348513X;18798136
;26404567
23084030;
26457768;26455676
29593263;29593271
08842558;
;20550359
09359648;15214095
08982090;
08827958;
10579257;16163028
;21967350
09763961;0976397X
10226680;16628985
;2365709X
;25194445
;27728234
;22137467
;26999307
;28109619
15361365;21690375
;21951071
21928576;21928584
10650555;
09291881;
22285881;22517308
;25775421
;27911519
26638436;
;2772834X
09218831;15685527
10804293;
;25119044
01691864;15685535
;21983844
19366612;19367317
16135113;23639466
;2773045X
18776361;
17931339;
1793074X;
1816112X;
;21980926
18698433;18698441
12293067;
15303004;15580334
09201971;24338915
15705811;22147977
13131311;13147609
;26679930
;23667486
16154150;16154169
14392232;25103814
1009265X;
;25130390
;23663987
19956819;19956827
25762508;25762516
19445563;
;23105380
;11786949
09734686;
00954829;
25244000;25244019
21982546;21982554
08826110;10465715
14751488;
10854622;
16876261;1687627X
17935369;17937175
20973462;25246992
16748190;
21987262;21987270
15694933;
2356654X;23147539
00652113;
2287528X;22875271
22121609;
02703106;
22105727;22105735
10724109;15334031
03015556;
07376146;18780415
23093331;23078316
10758593;
07496826;
17436753;17436761
01887009;
;26667924
01968858;10902074
20700733;20751354
00652156;
00652164;
02780984;
00018678;14756064
14759152;
;23263768
13681435;
;25829793
18797180;18797199
16108957;16131851
25245252;25245260
16877969;16877977
02561530;18619533
00652199;
1049250X;
15292134;
20563868;20563876
;27731391
01466402;
00652210;
07246145;16168542
25122142;25122150
;24680125
14793709;
16878027;16878035
03787354;16622774
22124926;22124934
25202847;25198033
00652253;
18750656;1879811X
24519634;
0065227X;
00652296;
17420946;
;26625407
17512549;17562201
14774070;
10690964;
;1855931X
18648258;18648266
;26673940
0065230X;21625557
00965332;
00652318;
13866206;
08895074;
00652326;16622839
03600564;
15663124;
0324833X;20802218
18745172;
09517197;17517605
00652377;
00652385;
24689289;24689270
00652393;
05679877;
00652407;
00652415;
15485595;15485609
;29753848
16878086;16878094
23791357;21653984
16749278;25241761
18995276;24512680
00652423;21629471
11255552;
25898744;25898701
18951171;
00018686;
;25175599
27725383;27725391
07477929;
02195259;17936802
23838477;24660523
10197168;15729044
21916586;21916594
00652458;
22875301;2287531X
16878108;16878124
00989258;
;27314235
02674874;
10128689;
25424793;25424327
00652482;
18713173;
07477767;
00845930;
18625347;18625355
20903359;20903367
21926204;
08959374;15440737
08820880;
15234223;15523055
15743349;
15663116;
15691799;
16871839;16871847
10799389;
20512295;20512309
;22552863
1067568X;
;26740001
00652490;
17570972;20428324
09735321;0974021X
02704021;
0191538X;
10018166;
19352700;19352719
09255206;
00652504;00652504
13698273;
07319053;
15380637;
2041806X;
1479358X;
14793660;
15827445;18447600
13361376;18043119
00652539;
;19411766
09659978;18735339
01411195;
09613552;
10747540;
14793598;
19950756;19981066
10930191;
24766674;24764779
00652571;18732437
0065258X;19344694
18722423;
00652598;22148019
00652601;
09219366;
25894722;2589420X
15693732;
;19276303
1353808X;
18720358;
10434526;
00652628;
;24522635
87559668;
1752301X;
16877101;1687711X
14799995;
15292126;
00652660;
10675701;
22079963;2208598X
1615715X;16157168
18668348;18668356
00652687;
16807340;16807359
20790589;20790570
15619125;
15740919;22151621
15351203;
08826145;
24991287;
14748231;
07312199;
13824996;15731677
00652717;
16879104;16879112
00652725;
16877357;16877365
13687638;
